State/UT,2015-16 - Elementary - Boys,2015-16 - Elementary - Girls,2015-16 - Secondary - Boys,2015-16 - Secondary - Girls,2016-17 - Elementary - Boys,2016-17 - Elementary - Girls,2016-17 - Secondary - Boys,2016-17 - Secondary - Girls,2017-18 - Elementary - Boys,2017-18 - Elementary - Girls,2017-18 - Secondary - Boys,2017-18 - Secondary - Girls,2018-19 - Elementary - Boys,2018-19 - Elementary - Girls,2018-19 - Secondary - Boys,2018-19 - Secondary - Girls,2019-20 - Elementary - Boys,2019-20 - Elementary - Girls,2019-20 - Secondary - Boys,2019-20 - Secondary - Girls
Andaman and Nicobar Islands,0.8,1.1,11.5,8.2,1.8,1.5,7.9,6.8,0,0.1,10.2,4.9,0.2,0.9,26.2,18,0,0,19.1,12.3
Andhra Pradesh,6,6.3,15.8,15.6,1.4,1.6,NA,NA,0,0,24.2,21.4,0,0,17.5,15.2,0,0,17.2,12.2
Arunachal Pradesh,9.6,9.5,18.3,15.8,19.9,20,31.6,28.1,9,6.6,20.7,17.2,11.8,11,36.9,35,7.7,5.5,37.6,30.9
Assam,14.4,13.4,24.6,29.3,5.2,4.1,26.4,28.8,9.6,7.5,32.1,35.2,3.4,2,30.8,32.1,5,3.1,31.5,32.9
Bihar,1.5,0.7,25.2,26.6,11.3,10,38.5,41,7.8,7.6,30.3,33.7,10,8.6,27.4,29.5,4.9,4.2,20,22.7
Chandigarh,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,4.7,4.3,0,0,5.9,3.3
Chhattisgarh,4.1,3.4,22.6,19.9,4.8,3.9,26.1,22.4,3.4,2.8,21.9,18.2,5,4.6,22.7,14,2.5,1.5,19.4,17.2
Dadra and Nagar Haveli,2.4,2.5,18.2,15.1,0.9,1,28.1,27.9,1,0.9,27.7,22,0.6,0.8,23.1,17.5,0,0,22.8,17.3
Daman and Diu,2.3,1.3,34.5,29.7,0,0,21.6,17.1,0.8,0.8,24.9,17.1,0,0,23.9,19.3,0,0,23.2,16.5
Delhi,0,0,13.6,9.8,0,0,12.6,8.6,0.2,0.4,18.9,16,0,0,16.1,13.7,0,0,15.7,11.9
Goa,0.4,0.6,14.2,7.7,0.5,1.9,18.7,13,0,0,10.2,4,1.3,1.3,12.3,6.2,0,0.2,12.8,7.2
Gujarat,2.2,3.7,26.3,23.2,2.5,3.7,25.6,21.9,3,5,21.8,19,3.9,4.6,25.8,21.2,2,3.2,26,20.6
Haryana,5.5,5.9,16.4,15.3,0,0,12.1,12.3,0,0,13.8,13.1,0.2,0.4,15.7,13.7,0.1,0.5,14.4,12
Himachal Pradesh,0.5,1,6.3,5.8,0.7,1,7.7,6.3,0.3,0.2,7.5,5.3,0.2,0.4,8.8,6.6,0.7,0.9,8.4,5.9
Jammu and Kashmir,6.3,6.3,17,17.7,11.9,13.9,23.3,25.5,3,1.6,4.1,2.5,6.2,6.9,17.9,17.7,3.6,3.7,16.7,16.6
Jharkhand,6.9,6.3,23.5,24.6,16.7,17.2,36.2,37.1,0,0,8.2,10.7,7.6,6.3,22.1,22.4,7.9,6.2,16.2,17
Karnataka,2.5,2.8,27.7,24.5,1.6,2.9,NA,NA,2.2,1.8,26.4,21.9,0,0,26.4,20.2,1.9,1.4,19.4,14.1
Kerala,0,0,15,9.5,0,0,15.6,9.8,0,0.2,14.5,9.5,0.3,0,11.3,6.8,0,0,9.8,5.9
Ladakh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.3,1.7,12.3,9.9
Lakshadweep,0.7,0.9,8.8,5,1.4,0,5.7,5.9,0,0,7.5,3.4,0,0,3.6,5.5,0,0,10.6,2.7
Madhya Pradesh,6.9,8.1,23.7,26,5.3,6.1,23.7,23.8,4.8,4.9,24.2,24.2,4.1,4.4,25.6,24,1.8,2.1,24.4,21.8
Maharashtra,1.1,1.8,13.1,12.6,0.7,1.2,11.4,11.1,0.6,1,12.9,12.2,1.4,1.6,13.7,12.8,0.3,0.6,16.2,14
Manipur,7.7,8.3,12.9,15.9,14.8,16.3,21.1,21,2.1,3,4.1,7.8,6.1,4.4,12.9,13.2,7.4,7.1,9.2,9.2
Meghalaya,9.3,7.8,20.8,20.3,18,17.3,28.3,27.9,3.8,2.2,17.3,17.6,16.4,13.2,20.8,18.3,8.4,6.3,22.8,21.8
Mizoram,8.5,8,23,20.7,13.8,13.4,32.5,28.9,8.4,6.8,22.6,16.9,6.6,5.5,11.2,10.1,6.6,5.5,23.2,17.5
Nagaland,4.2,3.1,18,18.5,19.9,20.3,31.5,31,4.6,4.2,13.5,12.9,9.9,8.4,25.7,22.5,5.6,3.7,21.7,20.7
Odisha,3.3,3,29.7,29.4,4.4,4.6,28.9,28.8,6,5.3,28.7,27.8,3.6,4.3,11.7,7.2,2.3,2,25.2,21.9
Puducherry,0.4,0.5,14.9,9.4,0,0,15.7,9.4,3.5,1.9,21.9,12.7,1.3,0,17.3,7.9,0,0,10.8,4.9
Punjab,2.9,3.4,9.2,8.4,3,2.7,9.1,7.9,3.4,3.2,13.7,10.8,2,1.9,13,9.6,0,0,4.8,0
Rajasthan,4.2,4.6,13.5,13.4,5.8,6.4,15.1,15.3,3,3.5,10.3,10.8,4.7,4.7,12.6,12.8,2.3,2.6,12.5,12.1
Sikkim,3.1,0.8,17.6,14.4,6.7,5.7,25.7,22.7,0.2,0,18.3,14.1,4.3,2.8,26.3,21.3,0,0,25.6,21.1
Tamil Nadu,0,0,11.7,4.4,0.6,0.9,13.7,6.3,7,7.3,19.4,13,0.6,1.3,17.7,8.1,1,0.6,13.3,5.6
Telangana,2.3,2,16.5,14.5,6.8,7,23.5,21.5,3.6,2.7,19,15.2,2.2,2.3,15.3,11.6,0,0,14,10.6
Tripura,1.7,1.3,28,28.8,4.9,4.6,29.2,30.3,1.9,1.1,27.1,27.3,4.1,2.9,29.4,29.7,2.8,2.3,27,26.4
Uttar Pradesh,6.6,6.9,9.9,10.6,8.2,9.7,12.5,12.9,6.6,8,18.7,19.5,7.6,9.4,15.5,15.6,1.9,3,14.5,14.2
Uttarakhand,3.1,2.9,11.3,9.5,4.7,4.7,9.9,8.2,2.9,3.2,11.9,10.7,3.9,3.5,12.3,9.5,2.5,2.3,9.4,7.3
West Bengal,3.4,1.6,16.3,19.1,9.3,7.4,26.5,27.3,1,0,14.1,15.1,3.9,1.6,19.4,19.6,0.2,0,14.1,13.6
All India,4,4.1,17.2,16.9,5.9,6.3,20,19.8,4,4.1,18.6,18.4,4.5,4.6,18.6,17,1.9,1.9,17,15.1
